taxlevel, rankID, taxon, daughterlevels, total
6,0.2.32.4.4.29.47,Subdoligranulum,0,0.000216
6,0.2.32.4.4.29.48,unclassified,0,0.018439
5,0.2.32.4.4.35,unclassified,1,0.007764
6,0.2.32.4.4.35.1,unclassified,0,0.007764
4,0.2.32.4.14,unclassified,1,0.001995
5,0.2.32.4.14.1,unclassified,1,0.001995
6,0.2.32.4.14.1.1,unclassified,0,0.001995
3,0.2.32.5,Erysipelotrichia,1,0.001779
4,0.2.32.5.1,Erysipelotrichales,1,0.001779
5,0.2.32.5.1.1,Erysipelotrichaceae,3,0.001779
6,0.2.32.5.1.1.6,Catenibacterium,0,0.000701
6,0.2.32.5.1.1.24,Holdemanella,0,0.00027
6,0.2.32.5.1.1.30,unclassified,0,0.000809
3,0.2.32.7,Negativicutes,1,0.001078
4,0.2.32.7.1,Selenomonadales,1,0.001078
5,0.2.32.7.1.2,Veillonellaceae,3,0.001078
6,0.2.32.7.1.2.2,Allisonella,0,0.000863
6,0.2.32.7.1.2.12,Dialister,0,0.000054
6,0.2.32.7.1.2.32,unclassified,0,0.000162
3,0.2.32.8,unclassified,1,0.008141
4,0.2.32.8.1,unclassified,1,0.008141
5,0.2.32.8.1.1,unclassified,1,0.008141
6,0.2.32.8.1.1.1,unclassified,0,0.008141
2,0.2.43,Lentisphaerae,1,0.00027
3,0.2.43.1,Lentisphaeria,1,0.00027
4,0.2.43.1.2,Victivallales,2,0.00027
5,0.2.43.1.2.5,Victivallaceae,1,0.000216
6,0.2.43.1.2.5.2,Victivallis,0,0.000216
5,0.2.43.1.2.8,unclassified,1,0.000054
6,0.2.43.1.2.8.1,unclassified,0,0.000054
2,0.2.55,Proteobacteria,4,0.007764
3,0.2.55.6,Betaproteobacteria,2,0.004421
4,0.2.55.6.6,Burkholderiales,2,0.003235
5,0.2.55.6.6.1,Alcaligenaceae,3,0.002264
6,0.2.55.6.6.1.19,Parasutterella,0,0.001024
6,0.2.55.6.6.1.23,Sutterella,0,0.001132
6,0.2.55.6.6.1.26,unclassified,0,0.000108
5,0.2.55.6.6.9,unclassified,1,0.00097
6,0.2.55.6.6.9.1,unclassified,0,0.00097
4,0.2.55.6.20,unclassified,1,0.001186
5,0.2.55.6.20.1,unclassified,1,0.001186
6,0.2.55.6.20.1.1,unclassified,0,0.001186
3,0.2.55.7,Deltaproteobacteria,1,0.000162
4,0.2.55.7.9,Desulfovibrionales,1,0.000162
5,0.2.55.7.9.4,Desulfovibrionaceae,1,0.000162
6,0.2.55.7.9.4.4,Desulfovibrio,0,0.000162
3,0.2.55.11,Gammaproteobacteria,3,0.000539
4,0.2.55.11.20,Enterobacteriales,1,0.000323
5,0.2.55.11.20.1,Enterobacteriaceae,1,0.000323
6,0.2.55.11.20.1.76,unclassified,0,0.000323
4,0.2.55.11.39,Pasteurellales,1,0.000108
5,0.2.55.11.39.1,Pasteurellaceae,1,0.000108
6,0.2.55.11.39.1.21,unclassified,0,0.000108
4,0.2.55.11.55,unclassified,1,0.000108
5,0.2.55.11.55.1,unclassified,1,0.000108
6,0.2.55.11.55.1.1,unclassified,0,0.000108
3,0.2.55.21,unclassified,1,0.002642
4,0.2.55.21.1,unclassified,1,0.002642
5,0.2.55.21.1.1,unclassified,1,0.002642
6,0.2.55.21.1.1.1,unclassified,0,0.002642
2,0.2.66,Tenericutes,1,0.004367
3,0.2.66.1,Mollicutes,2,0.004367
4,0.2.66.1.2,Anaeroplasmatales,1,0.002372
5,0.2.66.1.2.1,Anaeroplasmataceae,1,0.002372
6,0.2.66.1.2.1.1,Anaeroplasma,0,0.002372
4,0.2.66.1.14,unclassified,1,0.001995
5,0.2.66.1.14.1,unclassified,1,0.001995
6,0.2.66.1.14.1.1,unclassified,0,0.001995
2,0.2.75,unclassified,1,0.125297
3,0.2.75.1,unclassified,1,0.125297
4,0.2.75.1.1,unclassified,1,0.125297
5,0.2.75.1.1.1,unclassified,1,0.125297
6,0.2.75.1.1.1.1,unclassified,0,0.125297
1,0.3,Eukaryota,1,0.000108
2,0.3.103,unclassified,1,0.000108
3,0.3.103.1,unclassified,1,0.000108
4,0.3.103.1.1,unclassified,1,0.000108
5,0.3.103.1.1.1,unclassified,1,0.000108
6,0.3.103.1.1.1.1,unclassified,0,0.000108
1,0.5,unknown,1,0.683416
2,0.5.1,unclassified,1,0.683416
3,0.5.1.1,unclassified,1,0.683416
4,0.5.1.1.1,unclassified,1,0.683416
5,0.5.1.1.1.1,unclassified,1,0.683416
6,0.5.1.1.1.1.1,unclassified,0,0.683416
