taxlevel, rankID, taxon, daughterlevels, total
5,0.2.32.4.4.14,Family_XIII,2,0.000061
6,0.2.32.4.4.14.3,Family_XIII_UCG-001,0,0.00003
6,0.2.32.4.4.14.7,unclassified,0,0.00003
5,0.2.32.4.4.24,Lachnospiraceae,18,0.021793
6,0.2.32.4.4.24.6,Blautia,0,0.000849
6,0.2.32.4.4.24.7,Butyrivibrio,0,0.00003
6,0.2.32.4.4.24.11,Coprococcus_1,0,0.000364
6,0.2.32.4.4.24.12,Coprococcus_2,0,0.000061
6,0.2.32.4.4.24.13,Coprococcus_3,0,0.000394
6,0.2.32.4.4.24.14,Dorea,0,0.000303
6,0.2.32.4.4.24.17,Fusicatenibacter,0,0.002243
6,0.2.32.4.4.24.30,Lachnospira,0,0.000182
6,0.2.32.4.4.24.32,Lachnospiraceae_FCS020_group,0,0.000061
6,0.2.32.4.4.24.35,Lachnospiraceae_ND3007_group,0,0.00003
6,0.2.32.4.4.24.39,Lachnospiraceae_UCG-001,0,0.000061
6,0.2.32.4.4.24.41,Lachnospiraceae_UCG-003,0,0.000667
6,0.2.32.4.4.24.42,Lachnospiraceae_UCG-004,0,0.000061
6,0.2.32.4.4.24.49,Lachnospiraceae_ge,0,0.00003
6,0.2.32.4.4.24.60,Roseburia,0,0.000636
6,0.2.32.4.4.24.66,Tyzzerella,0,0.000091
6,0.2.32.4.4.24.67,Tyzzerella_3,0,0.00003
6,0.2.32.4.4.24.72,unclassified,0,0.0157
5,0.2.32.4.4.28,Peptostreptococcaceae,3,0.001152
6,0.2.32.4.4.28.2,Asaccharospora,0,0.000364
6,0.2.32.4.4.28.14,Terrisporobacter,0,0.000061
6,0.2.32.4.4.28.15,unclassified,0,0.000727
5,0.2.32.4.4.29,Ruminococcaceae,19,0.014791
6,0.2.32.4.4.29.4,Anaerofilum,0,0.00003
6,0.2.32.4.4.29.5,Anaerotruncus,0,0.00003
6,0.2.32.4.4.29.12,Faecalibacterium,0,0.002516
6,0.2.32.4.4.29.16,Intestinimonas,0,0.000152
6,0.2.32.4.4.29.21,Pseudoflavonifractor,0,0.00003
6,0.2.32.4.4.29.24,Ruminiclostridium_5,0,0.000061
6,0.2.32.4.4.29.27,Ruminococcaceae_NK4A214_group,0,0.000273
6,0.2.32.4.4.29.29,Ruminococcaceae_UCG-002,0,0.000091
6,0.2.32.4.4.29.30,Ruminococcaceae_UCG-003,0,0.00097
6,0.2.32.4.4.29.32,Ruminococcaceae_UCG-005,0,0.000394
6,0.2.32.4.4.29.34,Ruminococcaceae_UCG-008,0,0.000121
6,0.2.32.4.4.29.36,Ruminococcaceae_UCG-010,0,0.000061
6,0.2.32.4.4.29.39,Ruminococcaceae_UCG-013,0,0.001182
6,0.2.32.4.4.29.40,Ruminococcaceae_UCG-014,0,0.000091
6,0.2.32.4.4.29.42,Ruminococcaceae_ge,0,0.00003
6,0.2.32.4.4.29.43,Ruminococcus_1,0,0.000485
6,0.2.32.4.4.29.44,Ruminococcus_2,0,0.000455
6,0.2.32.4.4.29.47,Subdoligranulum,0,0.000727
6,0.2.32.4.4.29.48,unclassified,0,0.007092
5,0.2.32.4.4.35,unclassified,1,0.005638
6,0.2.32.4.4.35.1,unclassified,0,0.005638
4,0.2.32.4.14,unclassified,1,0.001091
5,0.2.32.4.14.1,unclassified,1,0.001091
6,0.2.32.4.14.1.1,unclassified,0,0.001091
3,0.2.32.5,Erysipelotrichia,1,0.000879
4,0.2.32.5.1,Erysipelotrichales,1,0.000879
5,0.2.32.5.1.1,Erysipelotrichaceae,4,0.000879
6,0.2.32.5.1.1.6,Catenibacterium,0,0.000152
6,0.2.32.5.1.1.14,Erysipelotrichaceae_UCG-003,0,0.000091
6,0.2.32.5.1.1.24,Holdemanella,0,0.000455
6,0.2.32.5.1.1.30,unclassified,0,0.000182
3,0.2.32.7,Negativicutes,1,0.001031
4,0.2.32.7.1,Selenomonadales,3,0.001031
5,0.2.32.7.1.1,Acidaminococcaceae,2,0.000485
6,0.2.32.7.1.1.2,Phascolarctobacterium,0,0.000303
6,0.2.32.7.1.1.5,unclassified,0,0.000182
5,0.2.32.7.1.2,Veillonellaceae,3,0.000455
6,0.2.32.7.1.2.2,Allisonella,0,0.00003
6,0.2.32.7.1.2.15,Mitsuokella,0,0.000333
6,0.2.32.7.1.2.32,unclassified,0,0.000091
5,0.2.32.7.1.3,unclassified,1,0.000091
6,0.2.32.7.1.3.1,unclassified,0,0.000091
3,0.2.32.8,unclassified,1,0.006274
4,0.2.32.8.1,unclassified,1,0.006274
5,0.2.32.8.1.1,unclassified,1,0.006274
6,0.2.32.8.1.1.1,unclassified,0,0.006274
2,0.2.43,Lentisphaerae,1,0.00003
3,0.2.43.1,Lentisphaeria,1,0.00003
4,0.2.43.1.2,Victivallales,1,0.00003
5,0.2.43.1.2.5,Victivallaceae,1,0.00003
6,0.2.43.1.2.5.2,Victivallis,0,0.00003
2,0.2.55,Proteobacteria,5,0.001031
3,0.2.55.4,Alphaproteobacteria,1,0.000061
4,0.2.55.4.15,Rhodospirillales,1,0.000061
5,0.2.55.4.15.18,unclassified,1,0.000061
6,0.2.55.4.15.18.1,unclassified,0,0.000061
3,0.2.55.6,Betaproteobacteria,2,0.000394
4,0.2.55.6.6,Burkholderiales,3,0.000364
5,0.2.55.6.6.1,Alcaligenaceae,1,0.000303
6,0.2.55.6.6.1.19,Parasutterella,0,0.000303
5,0.2.55.6.6.7,Oxalobacteraceae,1,0.00003
6,0.2.55.6.6.7.14,Oxalobacter,0,0.00003
5,0.2.55.6.6.9,unclassified,1,0.00003
6,0.2.55.6.6.9.1,unclassified,0,0.00003
4,0.2.55.6.20,unclassified,1,0.00003
5,0.2.55.6.20.1,unclassified,1,0.00003
6,0.2.55.6.20.1.1,unclassified,0,0.00003
3,0.2.55.7,Deltaproteobacteria,2,0.000152
4,0.2.55.7.9,Desulfovibrionales,1,0.000121
5,0.2.55.7.9.4,Desulfovibrionaceae,3,0.000121
6,0.2.55.7.9.4.1,Bilophila,0,0.000061
6,0.2.55.7.9.4.4,Desulfovibrio,0,0.00003
6,0.2.55.7.9.4.7,unclassified,0,0.00003
4,0.2.55.7.21,unclassified,1,0.00003
5,0.2.55.7.21.1,unclassified,1,0.00003
6,0.2.55.7.21.1.1,unclassified,0,0.00003
3,0.2.55.11,Gammaproteobacteria,2,0.000121
4,0.2.55.11.20,Enterobacteriales,1,0.00003
5,0.2.55.11.20.1,Enterobacteriaceae,1,0.00003
6,0.2.55.11.20.1.76,unclassified,0,0.00003
4,0.2.55.11.39,Pasteurellales,1,0.000091
5,0.2.55.11.39.1,Pasteurellaceae,2,0.000091
6,0.2.55.11.39.1.11,Haemophilus,0,0.00003
6,0.2.55.11.39.1.21,unclassified,0,0.000061
3,0.2.55.21,unclassified,1,0.000303
4,0.2.55.21.1,unclassified,1,0.000303
5,0.2.55.21.1.1,unclassified,1,0.000303
6,0.2.55.21.1.1.1,unclassified,0,0.000303
2,0.2.66,Tenericutes,1,0.00003
3,0.2.66.1,Mollicutes,1,0.00003
4,0.2.66.1.9,Mollicutes_RF9,1,0.00003
5,0.2.66.1.9.1,Mollicutes_RF9_fa,1,0.00003
6,0.2.66.1.9.1.1,Mollicutes_RF9_ge,0,0.00003
2,0.2.69,Verrucomicrobia,1,0.000121
3,0.2.69.13,Verrucomicrobiae,1,0.000121
4,0.2.69.13.1,Verrucomicrobiales,2,0.000121
5,0.2.69.13.1.4,Verrucomicrobiaceae,1,0.000061
6,0.2.69.13.1.4.1,Akkermansia,0,0.000061
5,0.2.69.13.1.5,unclassified,1,0.000061
6,0.2.69.13.1.5.1,unclassified,0,0.000061
2,0.2.75,unclassified,1,0.090231
3,0.2.75.1,unclassified,1,0.090231
4,0.2.75.1.1,unclassified,1,0.090231
5,0.2.75.1.1.1,unclassified,1,0.090231
6,0.2.75.1.1.1.1,unclassified,0,0.090231
1,0.3,Eukaryota,1,0.000121
2,0.3.103,unclassified,1,0.000121
3,0.3.103.1,unclassified,1,0.000121
4,0.3.103.1.1,unclassified,1,0.000121
5,0.3.103.1.1.1,unclassified,1,0.000121
6,0.3.103.1.1.1.1,unclassified,0,0.000121
1,0.5,unknown,1,0.781863
2,0.5.1,unclassified,1,0.781863
3,0.5.1.1,unclassified,1,0.781863
4,0.5.1.1.1,unclassified,1,0.781863
5,0.5.1.1.1.1,unclassified,1,0.781863
6,0.5.1.1.1.1.1,unclassified,0,0.781863
